"hotel","location","nearest place","rating","reviews score","count of riviews","hotel type","room type"
"Upar Hotels Uthandi, ECR","Chennai","18.7 km from centre","7.6","Good","267 reviews","Deluxe Double Room","1 large double bed"
"TREETOP INN","Central Chennai, Chennai","4.7 km from centre","9.0","Superb","11 reviews","Deluxe Double Room","6 beds (2 singles, 2 extra-large doubles, 2 large doubles)"
"OYO Park Royal","Triplicane, Chennai","5.1 km from centre","4.7","Review score","3 reviews","Standard Double Room","1 large double bed"
"Hotel Marina Inn Egmore Chennai","Egmore-Nungambakam, Chennai","5.1 km from centre","3.7","Review score","10 reviews","Deluxe Double Room","Beds: 1 double or 2 singles"
"Park Hyatt Chennai","Guindy, Chennai","3.5 km from centre","8.8","Fabulous","961 reviews","King Room with View","1 extra-large double bed"
"The Kings Park Residency","Triplicane, Chennai","5.4 km from centre","7.0","Good","16 reviews","Standard Double Room","Beds: 1 double or 2 singles"
"Royal Green Residency Chennai Airport","Pallavaram, Chennai","12.5 km from centre","5.9","Review score","198 reviews","Standard Double Room with Fan","1 extra-large double bed"
"Hotel Saibala Inn","South Chennai, Chennai","11.7 km from centre","5.0","Review score","11 reviews","Deluxe Twin Room","2 single beds"
"Apollo Court (Apollo hospital,Sankara natralya, US consulate","Central Chennai, Chennai","2.8 km from centre","7.6","Good","162 reviews","Deluxe Double Room","1 double bed"
"Rithikha Inn Crest","Central Chennai, Chennai","2.3 km from centre","9.0","Superb","2 reviews","Deluxe Double Room (2 Adults + 1 Child)","1 double bed"
"FabExpress Arunachala Guest House","Chennai","4.7 km from centre","4.5","Review score","36 reviews","Deluxe Room","1 double bed"
"G Silver Ashok Nagar","Central Chennai, Chennai","2 km from centre","5.8","Review score","83 reviews","Deluxe Double Room","1 large double bed"
"Zaith Residency Near US Consulate & Apollo hospitals","Central Chennai, Chennai","2.7 km from centre","6.0","Review score","141 reviews","Deluxe Double Room","1 large double bed"
"Feathers- A Radha Hotel, Chennai","South Chennai, Chennai","6.1 km from centre","8.2","Very good","338 reviews","Deluxe Double or Twin Room","1 extra-large double bed"
"The K11 Hotels - T Nagar","T - Nagar, Chennai","400 m from centre","6.9","Review score","53 reviews","Deluxe Double Room","1 large double bed"
"Trident Chennai","South Chennai, Chennai","7.3 km from centre","8.8","Fabulous","1,450 reviews","Trident Club Rooms","1 extra-large double bed"
"Townhouse T Nagar Chennai Near AGS Cinemas T Nagar","T - Nagar, Chennai","0.6 km from centre","4.9","Review score","70 reviews","Standard Double Room","1 extra-large double bed"
"Season 4 Residences -Thiruvanmiyur Near Tidel park Apollo Proton cancer center and IIT Madras Research Park","Thiruvanmiyur, Chennai","6.4 km from centre","6.2","Review score","143 reviews","Deluxe Double or Twin Room","Beds: 1 double or 2 singles"
"Hotel Nk Grand Park Airport Hotel","Pallavaram, Chennai","11.9 km from centre","5.6","Review score","122 reviews","Deluxe Room","Beds: 1 double or 2 singles"
"GRAND ELEGANT","Central Chennai, Chennai","6.1 km from centre","6.8","Review score","75 reviews","Deluxe Double Room","1 extra-large double bed"
"Icon Residency","Chennai","17.9 km from centre","8.3","Very good","64 reviews","Deluxe Double Room","1 single bed"
"Mango Hill Central Chennai","T - Nagar, Chennai","1.4 km from centre","5.6","Review score","24 reviews","Executive Twin Room","2 single beds"
"K11 Express - Opp Express Avenue","Central Chennai, Chennai","4 km from centre","7.0","Good","197 reviews","Deluxe Double Room","1 large double bed"
"Stayz Inn Hotels - The Gate Way Of Madras - Near Chennai Central Railway Station","Egmore-Nungambakam, Chennai","5.9 km from centre","4.0","Review score","1 review","Double Room","1 large double bed"
"Balaji residency","Guindy, Chennai","3.7 km from centre","6.1","Review score","53 reviews","Deluxe Double Room","1 large double bed"
"PLAZA GUEST HOUSE","Chennai","2.6 km from centre","7.1","Good","153 reviews","Standard Double Room","2 single beds"
"Hotel Kheni","T - Nagar, Chennai","450 m from centre","6.9","Review score","66 reviews","Junior Suite","1 large double bed"
"Horizon Inn","Central Chennai, Chennai","6.5 km from centre","5.7","Review score","261 reviews","Economy Double Room","1 extra-large double bed"
"Allamanda Abode","Chennai","12.6 km from centre","7.4","Good","49 reviews","Superior Double Room","2 single beds"
"Pride Hospitality Nungambakkam","Nungambakkam, Chennai","2.1 km from centre","5.5","Review score","122 reviews","Suite","1 extra-large double bed"
"The Westin Chennai Velachery","South Chennai, Chennai","5.8 km from centre","8.8","Fabulous","404 reviews","Deluxe, Guest room, 1 King","1 extra-large double bed"
"FabHotel Prime Mahalaya Residency","Pallavaram, Chennai","11.3 km from centre","6.1","Review score","42 reviews","Deluxe Room","1 double bed"
"Convastay Prestige- Near Apollo Hospital & US Consulate","Central Chennai, Chennai","3 km from centre","6.9","Review score","57 reviews","Studio Room","1 double bed"
"Revostay Royel by Crossway","Chennai","26.1 km from centre","8.2","Very good","53 reviews","Deluxe Double Room","1 large double bed"
"Comfort Park Inn (Unit of Prohotel)","Koyambedu, Chennai","4.9 km from centre","8.4","Very good","8 reviews","Deluxe Double or Twin Room","3 beds (2 singles, 1 double)"
"First Inn Hotels Chennai","South Chennai, Chennai","7.6 km from centre","6.7","Review score","95 reviews","Executive Suite","1 double bed"
"Itsy By Treebo - Rithika Inn Blossoms","South Chennai, Chennai","7.1 km from centre","6.9","Review score","151 reviews","Standard Double Room","Multiple bed types"
"Townhouse Royapettah Near U.S Consulate","Central Chennai, Chennai","3.3 km from centre","5.4","Review score","76 reviews","Classic Triple Room","1 large double bed"
"Taj Wellington Mews Chennai","South Chennai, Chennai","5.7 km from centre","8.7","Fabulous","440 reviews","Studio Apartment with Balcony Twin Bed","2 single beds"
"Venture Park, OMR, Thoraipakkam, Chennai","Thoraipakkam, Chennai","11.8 km from centre","5.5","Review score","362 reviews","King Room","1 extra-large double bed"
"Olive Serviced Apartment","South Chennai, Chennai","8.2 km from centre","8.2","Very good","39 reviews","Standard Double Room","1 double bed"
"FabExpress Picnic Plaza Mylapore","Mylapore, Chennai","3.7 km from centre","6.4","Review score","189 reviews","Deluxe Room","1 double bed"
"Hotel Malainn","T - Nagar, Chennai","450 m from centre","6.2","Review score","16 reviews","Deluxe Double Room","1 large double bed"
"The K11 Business Class-Near US Consulate","T - Nagar, Chennai","400 m from centre","6.9","Review score","134 reviews","Budget Double Room","2 single beds"
"GCM Hotel Uthandi","Chennai","18 km from centre","9.3","Superb","3 reviews","Deluxe Double Room","1 double bed"
"M Stays","Chennai","9.4 km from centre","8.1","Very good","123 reviews","Superior Twin","2 extra-large double beds"
"Sarovara Deluxe Rooms","Central Chennai, Chennai","4.1 km from centre","7.1","Good","113 reviews","Deluxe Double Room","2 single beds"
"Hotel City Tower, Chennai Central","Central Chennai, Chennai","6.7 km from centre","6.0","Review score","21 reviews","Standard Double Room with Fan","1 extra-large double bed"
"Vsv Guest House Maduravoyal","Chennai","6.7 km from centre","8.0","Very good","6 reviews","Classic Triple Room","1 large double bed"
"","","","","","","",""
